host_country,lei,legal_name,entity_country,direct_parent_lei,direct_parent_name,direct_parent_country,ultimate_parent_lei,ultimate_parent_name,ultimate_parent_country,chain_parent_lei,chain_parent_name,chain_parent_country,chain_parent_relationship_type,uie_lei,uie_name,uie_country,uie_source,evidence_tier,uie_confidence,is_known_uie,is_inferred_uie,is_non_consolidating,exception_reason,matched_parent_lei,matched_parent_name,matched_parent_country,brand_token,match_score,inferred_parent_lei,address_parent_name,address_parent_country,confidence,predicted_parent_country,prediction_probability,confidence_gap,top3_countries,top3_probabilities,ctos_registered_malaysia,ctos_name,ctos_registration_no,ctos_match_score,ctos_match_method,ctos_url,override_reason,source_url,source_note
KH,549300GEDZ0LT59B3H04,"F.U.G.I GOLD CO., LTD.",KH,,,,,,,,,,,,,EUROPE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,1.0,0,1,0,,,,,,,,,,,EUROPE,1.0,,EUROPE;OTHER;AMERICAS_OTHER,1.0;0.0;0.0,0,,,,,,,,
KH,254900O1KZJEYTBO2413,ការផ្លាស់ប្តូរនិស្សន្ទវត្ថុនៃសំណាងមាស,KH,,,,,,,,,,,,,OTHER,phase3_jurisdiction_model,E_model_predicted_jurisdiction,1.0,0,1,0,NATURAL_PERSONS,,,,,,,,,,OTHER,1.0,,OTHER;EUROPE;AMERICAS_OTHER,1.0;0.0;0.0,0,,,,,,,,
KH,254900HJ5YSIDLWFZM09,ក្រសួងបរិស្ថានកម្ពុជា។,KH,,,,,,,,,,,,,OTHER,phase3_jurisdiction_model,E_model_predicted_jurisdiction,1.0,0,1,0,NO_LEI,,,,,,,,,,OTHER,1.0,,OTHER;EUROPE;AMERICAS_OTHER,1.0;0.0;0.0,0,,,,,,,,
KH,549300LXEIJH0EN1VL04,ក្រុមហ៊ុន,KH,,,,,,,,,,,,,AMERICAS_OTHER,phase3_jurisdiction_model,E_model_predicted_jurisdiction,1.0,0,1,1,NON_CONSOLIDATING,,,,,,,,,,AMERICAS_OTHER,1.0,,AMERICAS_OTHER;OTHER;EUROPE,1.0;0.0;0.0,0,,,,,,,,
KH,9845006L21E7C09E3828,គ្រឹះស្ថានមីក្រូហិរញ្ញវត្ថុ ចម្រើន ម.ក,KH,,,,,,,,,,,,,OTHER,phase3_jurisdiction_model,E_model_predicted_jurisdiction,1.0,0,1,0,NO_KNOWN_PERSON,,,,,,,,,,OTHER,1.0,,OTHER;EUROPE;AMERICAS_OTHER,1.0;0.0;0.0,0,,,,,,,,
KH,984500BBF3BDC6BE1D38,គ្រឹះស្ថានមីក្រូហិរញ្ញវត្ថុ ហ្វឺស ហ្វាយនែន ភីអិលសុី,KH,,,,,,,,,,,,,OTHER,phase3_jurisdiction_model,E_model_predicted_jurisdiction,1.0,0,1,1,NON_CONSOLIDATING,,,,,,,,,,OTHER,1.0,,OTHER;EUROPE;AMERICAS_OTHER,1.0;0.0;0.0,0,,,,,,,,
KH,5493001V58884LQBXZ84,ធនាគារ ម.ក,KH,,,,,,,,,,,,,AMERICAS_OTHER,phase3_jurisdiction_model,E_model_predicted_jurisdiction,1.0,0,1,1,NON_CONSOLIDATING,,,,,,,,,,AMERICAS_OTHER,1.0,,AMERICAS_OTHER;OTHER;EUROPE,1.0;0.0;0.0,0,,,,,,,,
KH,9845007D83CD6D8DBH08,ប៊ី.អាយ.ស៊ី. ម៉ាឃីត ឯ.ក,KH,,,,,,,,,,,,,OTHER,phase3_jurisdiction_model,E_model_predicted_jurisdiction,1.0,0,1,0,NATURAL_PERSONS,,,,,,,,,,OTHER,1.0,,OTHER;EUROPE;AMERICAS_OTHER,1.0;0.0;0.0,0,,,,,,,,
KH,254900C1695G2DWUKX93,ផ្លាយអ៊ីង ហ្វីតឌើរ (ខេមបូឌា) វូដ-អ៊ិនដាសស្រ្ទី ឯ.ក,KH,,,,,,,,,,,,,OTHER,phase3_jurisdiction_model,E_model_predicted_jurisdiction,1.0,0,1,0,NATURAL_PERSONS,,,,,,,,,,OTHER,1.0,,OTHER;EUROPE;AMERICAS_OTHER,1.0;0.0;0.0,0,,,,,,,,
KH,254900ILPM7VT6UED003,សត្វល្អិត កម្ពុជា។ ភីអិលស៊ី,KH,,,,,,,,,,,,,OTHER,phase3_jurisdiction_model,E_model_predicted_jurisdiction,1.0,0,1,0,NO_LEI,,,,,,,,,,OTHER,1.0,,OTHER;EUROPE;AMERICAS_OTHER,1.0;0.0;0.0,0,,,,,,,,
