country,destination_count,my_owned_or_source_owned_leis,outward_fdi_usd_mn,outward_fdi_usd_bn,asean_outward_lei_density
ID,1,11,86541.30994783374,86.54130994783374,0.12710692739260238
MY,4,22,111255.65913979456,111.25565913979456,0.19774275007760855
PH,1,11,7946.692034679444,7.946692034679444,1.3842237690847827
SG,4,39,195606.3086315879,195.6063086315879,0.19938007251828485
TH,4,26,76038.48715252301,76.03848715252302,0.3419321053540621
VN,1,3,2725.390565751555,2.7253905657515554,1.1007596627431335
