host,n_pairs,rho,p_value
ALL,149,0.6325116967992076,5.0413134995788175e-18
BN,4,0.7745966692414834,0.22540333075851657
ID,16,0.316281835909687,0.23269457347262554
KH,6,0.09759000729485333,0.8540797033781716
MY,17,0.43271832452563924,0.08276295430452922
PH,22,0.4834771591735199,0.022632844296640295
SG,38,0.8395054299089278,4.5184145555622324e-11
TH,29,0.33838973834281955,0.07257091667047365
VN,16,0.4216839925608932,0.10377155164717142
