destination,source,entities,fdi_usd_mn,fdi_usd_bn,outward_lei_density
ID,SG,7,84299.3725350814,84.2993725350814,0.08303739149525617
ID,TH,1,22431.1660469958,22.431166046995802,0.04458082998917168
MY,SG,13,44920.09290561037,44.92009290561037,0.28940278523725727
PH,SG,5,9363.29544866131,9.363295448661312,0.5340000246083081
PH,MY,1,1713.73039169589,1.71373039169589,0.5835223585026174
PH,TH,1,2229.6002003461767,2.2296002003461766,0.4485109033649782
SG,TH,22,38629.95469930663,38.62995469930663,0.5695062334721008
SG,MY,15,98039.90452129135,98.03990452129135,0.1529989250116257
SG,ID,11,86541.30994783374,86.54130994783374,0.12710692739260238
SG,PH,11,7946.692034679444,7.946692034679444,1.3842237690847827
SG,VN,3,2725.390565751555,2.7253905657515554,1.1007596627431335
TH,SG,14,57023.5477422348,57.0235477422348,0.24551260933964697
TH,MY,4,7600.67564261261,7.60067564261261,0.526269003978318
VN,MY,2,3901.348584194708,3.901348584194708,0.5126432454927191
VN,TH,2,12747.7662058744,12.7477662058744,0.1568902321944345
