lei,legal_name,review_priority_score,review_reason,review_status,entity_type,review_note,coverage_gap_priority_score,reason_flags,uie_country,uie_source,evidence_tier,uie_confidence,predicted_parent_country,prediction_probability,confidence_gap,top3_countries,top3_probabilities,direct_parent_name,direct_parent_country,ultimate_parent_name,ultimate_parent_country,ctos_registered_malaysia,ctos_name,ctos_match_score,ctos_match_method,override_reason,source_url,source_note,city,size_proxy,has_parent_link,has_ultimate_link,foreign_parent,is_non_consolidating,has_exception_filed,has_inferred_parent,in_address_cluster
2549004Z0I6OMQ26TJ93,ENSA ENERGIA A.G.,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,shared_address_cluster;missing_direct_parent;missing_ultimate_parent,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.7835,US,0.7835,0.6106,US;GB;EUROPE,0.7835;0.1729;0.0268,,,,,0.0,,,,,,,Labuan,1.3976854846715725,0,0,0,0,1,0,1
9845009985P60710DM67,EQUATOR ENGINEERING SDN. BHD.,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9165,DE,0.9165,0.8701,DE;US;EUROPE,0.9165;0.0464;0.0277,,,,,0.0,,,,,,,PETALING JAYA,1.3976854846715725,0,0,0,1,1,0,0
9845007BFB7469AI4074,ESG EMPIRE,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,OFFSHORE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9944,OFFSHORE,0.9944,0.9912,OFFSHORE;EUROPE;DE,0.9944;0.0033;0.0019,,,,,0.0,,,,,,,Seri Kembangan,1.3976854846715725,0,0,0,1,1,0,0
549300W4OXKON6VGAK91,ESW ASIA INC.,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,shared_address_cluster;missing_direct_parent;missing_ultimate_parent,GB,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.3232,GB,0.3232,0.0664,GB;MIDEAST_AFRICA;EUROPE,0.3232;0.2568;0.1937,,,,,0.0,,,,,,,LABUAN,1.3976854846715725,0,0,0,0,1,0,1
549300E5PBPLNNZCC022,ESW Global Inc.,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,shared_address_cluster;missing_direct_parent;missing_ultimate_parent,MIDEAST_AFRICA,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.8327,MIDEAST_AFRICA,0.8327,0.7188,MIDEAST_AFRICA;US;SG,0.8327;0.1139;0.0238,,,,,0.0,,,,,,,Labuan,1.3976854846715725,0,0,0,0,1,0,1
254900NV32FPTZCHR007,ETHEREAL CAPITAL SDN. BHD.,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9952,DE,0.9952,0.9927,DE;US;OFFSHORE,0.9952;0.0025;0.002,,,,,0.0,,,,,,,KUALA LUMPUR,1.3976854846715725,0,0,0,1,1,0,0
98450006B63AK6C6A683,EXNESS INVESTMENT BANK LIMITED,0.5391,validate_model_only_investor_economy,todo,financial_institution,,0.3590731048434652,shared_address_cluster;missing_direct_parent;missing_ultimate_parent,GB,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.6648,GB,0.6648,0.3779,GB;DE;US,0.6648;0.2869;0.0188,,,,,0.0,,,,,,,Jalan Jumidar Buyong,1.3976854846715725,0,0,0,0,1,0,1
984500B2KB4C65AC6E74,EXPONENTIAL TECHNOLOGIES SDN. BHD.,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9784,DE,0.9784,0.9591,DE;US;EUROPE,0.9784;0.0193;0.0019,,,,,0.0,,,,,,,Rawang,1.3976854846715725,0,0,0,1,1,0,0
549300TCFMWGLMH7ZC74,EXPORT-IMPORT BANK OF MALAYSIA BERHAD,0.5391,validate_model_only_investor_economy,todo,financial_institution,,0.3590731048434652,non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9962,DE,0.9962,0.9941,DE;US;GB,0.9962;0.0021;0.0007,,,,,0.0,,,,,,,KUALA LUMPUR,1.3976854846715725,0,0,0,1,1,0,0
529900DHZ806RXPFNI11,Elektrisola Malaysia SDN BHD,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9931,US,0.9931,0.988,US;DE;ASIA_OTHER,0.9931;0.0051;0.0012,,,,,0.0,,,,,,,Bentong,1.3976854846715725,0,0,0,1,1,0,0
254900NCSS5L56P42957,Engkim Capital Limited,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,GB,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.744,GB,0.744,0.5684,GB;DE;US,0.744;0.1755;0.0708,,,,,0.0,,,,,,,Labuan,1.3976854846715725,0,0,0,1,1,0,0
9845005VIB1BF59A5C25,Equal Markets Ltd.,0.5391,validate_model_only_investor_economy,todo,operating_or_holding_company,,0.3590731048434652,shared_address_cluster;missing_direct_parent;missing_ultimate_parent,GB,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9624,GB,0.9624,0.9291,GB;EUROPE;DE,0.9624;0.0333;0.0021,,,,,0.0,,,,,,,Labuan,1.3976854846715725,0,0,0,0,1,0,1
