lei,legal_name,review_priority_score,review_reason,review_status,entity_type,review_note,coverage_gap_priority_score,reason_flags,uie_country,uie_source,evidence_tier,uie_confidence,predicted_parent_country,prediction_probability,confidence_gap,top3_countries,top3_probabilities,direct_parent_name,direct_parent_country,ultimate_parent_name,ultimate_parent_country,ctos_registered_malaysia,ctos_name,ctos_match_score,ctos_match_method,override_reason,source_url,source_note,city,size_proxy,has_parent_link,has_ultimate_link,foreign_parent,is_non_consolidating,has_exception_filed,has_inferred_parent,in_address_cluster
254900BU8X2DEVWEWE35,Principal PRS Plus Growth,0.3891,fund_product_vehicle_rule_applied,product_vehicle_rule_applied,fund_or_product_vehicle,,0.40907310484346526,shared_address_cluster;non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,SG,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9112,SG,0.9112,0.8501,SG;OFFSHORE;DE,0.9112;0.061;0.0156,,,,,0.0,,,,,,,Kuala Lumpur,1.3976854846715725,0,0,0,1,1,0,1
254900G7MAXLV16HDS30,Principal PRS Plus Moderate,0.3891,fund_product_vehicle_rule_applied,product_vehicle_rule_applied,fund_or_product_vehicle,,0.40907310484346526,shared_address_cluster;non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,SG,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9612,SG,0.9612,0.9469,SG;GB;OFFSHORE,0.9612;0.0143;0.0119,,,,,0.0,,,,,,,Kuala Lumpur,1.3976854846715725,0,0,0,1,1,0,1
2549006Y747F8I6NH671,Principal RetireEasy Income,0.3891,fund_product_vehicle_rule_applied,product_vehicle_rule_applied,fund_or_product_vehicle,,0.40907310484346526,shared_address_cluster;non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9925,DE,0.9925,0.9883,DE;GB;SG,0.9925;0.0042;0.0019,,,,,0.0,,,,,,,KUALA LUMPUR,1.3976854846715725,0,0,0,1,1,0,1
254900VK256HLX95CC41,Principal S&P Ethical Asia Pacific Dividend ETF,0.3891,fund_product_vehicle_rule_applied,product_vehicle_rule_applied,fund_or_product_vehicle,,0.40907310484346526,shared_address_cluster;non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,ASIA_OTHER,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9639,ASIA_OTHER,0.9639,0.9434,ASIA_OTHER;SG;GB,0.9639;0.0206;0.0114,,,,,0.0,,,,,,,KUALA LUMPUR,1.3976854846715725,0,0,0,1,1,0,1
254900E1X928SFWMHB65,Principal Small Cap Opportunities Fund,0.3891,fund_product_vehicle_rule_applied,product_vehicle_rule_applied,fund_or_product_vehicle,,0.40907310484346526,shared_address_cluster;non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,SG,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4881,SG,0.4881,0.2216,SG;GB;DE,0.4881;0.2665;0.2416,,,,,0.0,,,,,,,KUALA LUMPUR,1.3976854846715725,0,0,0,1,1,0,1
254900FQD8OFFVY11L15,Principal Strategic Global Growth Fund,0.3891,fund_product_vehicle_rule_applied,product_vehicle_rule_applied,fund_or_product_vehicle,,0.40907310484346526,shared_address_cluster;non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,SG,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9846,SG,0.9846,0.9701,SG;GB;EUROPE,0.9846;0.0145;0.0005,,,,,0.0,,,,,,,Kuala Lumpur,1.3976854846715725,0,0,0,1,1,0,1
254900NEJ2V7QUK6MY65,Principal Titans Growth & Income Fund,0.3891,fund_product_vehicle_rule_applied,product_vehicle_rule_applied,fund_or_product_vehicle,,0.40907310484346526,shared_address_cluster;non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,SG,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9813,SG,0.9813,0.9637,SG;US;DE,0.9813;0.0176;0.0005,,,,,0.0,,,,,,,Kuala Lumpur,1.3976854846715725,0,0,0,1,1,0,1
254900ICU9SICU9CCR92,Principal Titans Income Plus Fund,0.3891,fund_product_vehicle_rule_applied,product_vehicle_rule_applied,fund_or_product_vehicle,,0.40907310484346526,shared_address_cluster;non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,SG,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9366,SG,0.9366,0.88,SG;US;EUROPE,0.9366;0.0566;0.0055,,,,,0.0,,,,,,,Kuala Lumpur,1.3976854846715725,0,0,0,1,1,0,1
254900BEFOMBG0O3N664,Principal US High Conviction Equity Fund,0.3891,fund_product_vehicle_rule_applied,product_vehicle_rule_applied,fund_or_product_vehicle,,0.40907310484346526,shared_address_cluster;non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,SG,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9444,SG,0.9444,0.896,SG;GB;DE,0.9444;0.0484;0.0032,,,,,0.0,,,,,,,Kuala Lumpur,1.3976854846715725,0,0,0,1,1,0,1
2549007UYTP08H0O3H83,Principal Wholesale Equity Fund,0.3891,fund_product_vehicle_rule_applied,product_vehicle_rule_applied,fund_or_product_vehicle,,0.40907310484346526,shared_address_cluster;non_consolidating_entity;missing_direct_parent;missing_ultimate_parent,SG,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.9558,SG,0.9558,0.9297,SG;GB;OFFSHORE,0.9558;0.0261;0.0097,,,,,0.0,,,,,,,Kuala Lumpur,1.3976854846715725,0,0,0,1,1,0,1
