host_country,lei,legal_name,entity_country,direct_parent_lei,direct_parent_name,direct_parent_country,ultimate_parent_lei,ultimate_parent_name,ultimate_parent_country,chain_parent_lei,chain_parent_name,chain_parent_country,chain_parent_relationship_type,uie_lei,uie_name,uie_country,uie_source,evidence_tier,uie_confidence,is_known_uie,is_inferred_uie,is_non_consolidating,exception_reason,matched_parent_lei,matched_parent_name,matched_parent_country,brand_token,match_score,inferred_parent_lei,address_parent_name,address_parent_country,confidence,predicted_parent_country,prediction_probability,confidence_gap,top3_countries,top3_probabilities,ctos_registered_malaysia,ctos_name,ctos_registration_no,ctos_match_score,ctos_match_method,ctos_url,override_reason,source_url,source_note
TL,549300SJ7CE6KN8F1Q37,BANCO CENTRAL DE TIMOR-LESTE,TL,,,,,,,,,,,,,,reporting_exception_no_country,B_subsidiary_signal_no_uie,0.7,0,0,1,NON_CONSOLIDATING,,,,,,,,,,,,,,,0,,,,,,,,
TL,213800G1VEC2Y4JYP527,"SENTINEL GROUP UNIPESSOAL, LDA",TL,,,,,,,,,,,,,,reporting_exception_no_country,B_subsidiary_signal_no_uie,0.7,0,0,1,NON_CONSOLIDATING,,,,,,,,,,,,,,,0,,,,,,,,
TL,2549001XA1JHWNHF1X08,"CENTRO SUPERMERCADO, LDA.",TL,,,,,,,,,,,,,,unassigned,U_unassigned,0.0,0,0,0,NO_LEI,,,,,,,,,,,,,,,0,,,,,,,,
TL,25490073MJB6AIFEZ246,"EAST TIMOR TRADING, LDA",TL,,,,,,,,,,,,,,unassigned,U_unassigned,0.0,0,0,0,NO_LEI,,,,,,,,,,,,,,,0,,,,,,,,
TL,254900YII23QB7I1UC98,"EASTERN STAR MOTORS & DIVERSE TRADE, UNIPESSOAL, LDA",TL,,,,,,,,,,,,,,unassigned,U_unassigned,0.0,0,0,0,NO_LEI,,,,,,,,,,,,,,,0,,,,,,,,
TL,213800J1GG14ML5XC230,FUNDO DE RESERVA DA SEGURANCA SOCIAL,TL,,,,,,,,,,,,,,unassigned,U_unassigned,0.0,0,0,0,NO_KNOWN_PERSON,,,,,,,,,,,,,,,0,,,,,,,,
TL,254900UXEAP0G4QPZB79,"KAEBAUK INVESTIMENTU NO FINANSAS, S.A.",TL,,,,,,,,,,,,,,unassigned,U_unassigned,0.0,0,0,0,NATURAL_PERSONS,,,,,,,,,,,,,,,0,,,,,,,,
