host_country,lei,legal_name,entity_country,direct_parent_lei,direct_parent_name,direct_parent_country,ultimate_parent_lei,ultimate_parent_name,ultimate_parent_country,chain_parent_lei,chain_parent_name,chain_parent_country,chain_parent_relationship_type,uie_lei,uie_name,uie_country,uie_source,evidence_tier,uie_confidence,is_known_uie,is_inferred_uie,is_non_consolidating,exception_reason,matched_parent_lei,matched_parent_name,matched_parent_country,brand_token,match_score,inferred_parent_lei,address_parent_name,address_parent_country,confidence,predicted_parent_country,prediction_probability,confidence_gap,top3_countries,top3_probabilities,ctos_registered_malaysia,ctos_name,ctos_registration_no,ctos_match_score,ctos_match_method,ctos_url,override_reason,source_url,source_note
SG,35380075I0HWM934ZR76,ORYX LNG NO 3 PTE. LTD.,SG,,,,,,,,,,,353800FL04R73DS5P870,川崎汽船株式会社,JP,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NO_KNOWN_PERSON,,,,,,353800FL04R73DS5P870,川崎汽船株式会社,JP,0.6,JP,0.959,0.949,JP;US;CH,0.959;0.01;0.0084,0,,,,,,,,
SG,353800MXDAP0CY50QT69,ORYX LNG NO 4 PTE. LTD.,SG,,,,,,,,,,,353800FL04R73DS5P870,川崎汽船株式会社,JP,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NO_KNOWN_PERSON,,,,,,353800FL04R73DS5P870,川崎汽船株式会社,JP,0.6,JP,0.959,0.949,JP;US;CH,0.959;0.01;0.0084,0,,,,,,,,
SG,254900SFL4VEJ012DT39,OSIRIS HOLDINGS PTE. LTD.,SG,,,,,,,,,,,335800R6OF8UV8J3G994,AEGIS LOGISTICS LIMITED,IN,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NO_LEI,,,,,,335800R6OF8UV8J3G994,AEGIS LOGISTICS LIMITED,IN,0.6,KY,0.1995,0.0228,KY;IN;US,0.1995;0.1767;0.1571,0,,,,,,,,
SG,5493005YD2GDV5LCUD15,OSL SG PTE. LTD.,SG,,,,,,,,,,,5493008TDGYRVB84CI90,PAYPAL PAYMENT HOLDINGS PTE. LTD.,SG,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NO_LEI,,,,,,5493008TDGYRVB84CI90,PAYPAL PAYMENT HOLDINGS PTE. LTD.,SG,0.6,IN,0.3779,0.2287,IN;US;OFFSHORE,0.3779;0.1491;0.1347,0,,,,,,,,
SG,98450061FBA4ZA47D774,OTERRA INDIGO PTE. LTD.,SG,,,,,,,,,,,213800YCDIODNYQ3KN91,CHURCHILL CAPITAL LTD.,BM,phase2_address_cluster,D_address_cluster,0.6,0,1,1,NON_CONSOLIDATING,,,,,,213800YCDIODNYQ3KN91,CHURCHILL CAPITAL LTD.,BM,0.6,DE,0.6913,0.6177,DE;IN;GB,0.6913;0.0736;0.0735,0,,,,,,,,
SG,549300N26UEYMRX1UB34,OTISCO INVESTMENT PTE. LTD.,SG,,,,,,,,,,,529900RTERU3X7G3D672,NEXTDC LIMITED,AU,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NO_LEI,,,,,,529900RTERU3X7G3D672,NEXTDC LIMITED,AU,0.6,IN,0.4731,0.2862,IN;US;EUROPE,0.4731;0.1869;0.0858,0,,,,,,,,
SG,25490003Z8WJA53PJZ66,OTRIA CAPITAL (SINGAPORE) PTE. LIMITED,SG,,,,,,,,,,,549300OZTWOFA7BXUF06,FLOW TRADERS ASIA PTE. LTD.,SG,phase2_address_cluster,D_address_cluster,0.6,0,1,1,NON_CONSOLIDATING,,,,,,549300OZTWOFA7BXUF06,FLOW TRADERS ASIA PTE. LTD.,SG,0.6,SG,0.6437,0.4932,SG;GB;US,0.6437;0.1505;0.0979,0,,,,,,,,
SG,254900KPO7GNG4F5EZ84,OUB CENTRE LIMITED,SG,,,,,,,,,,,635400ZM7HW3CXPHA583,St. James's Place International Public Limited Company,IE,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NON_PUBLIC,,,,,,635400ZM7HW3CXPHA583,St. James's Place International Public Limited Company,IE,0.6,US,0.4522,0.2603,US;JP;NL,0.4522;0.1919;0.0902,0,,,,,,,,
SG,254900MR17VBF15G0543,OUE Limited,SG,,,,,,,,,,,254900CIASQTY76H2107,WPSG MASTER HOLDINGS PTE. LTD.,SG,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NO_LEI,,,,,,254900CIASQTY76H2107,WPSG MASTER HOLDINGS PTE. LTD.,SG,0.6,US,0.2991,0.0653,US;SG;GB,0.2991;0.2338;0.0862,0,,,,,,,,
SG,254900AH6X4DZU5POA54,OUE REALTY PTE. LTD.,SG,,,,,,,,,,,254900747XH47G3UTN18,"Seismic Software, Inc.",US,phase2_address_cluster,D_address_cluster,0.6,0,1,0,NO_LEI,,,,,,254900747XH47G3UTN18,"Seismic Software, Inc.",US,0.6,US,0.3795,0.1997,US;KY;IN,0.3795;0.1798;0.1015,0,,,,,,,,
