host_country,uie_country,evidence_bucket,lei_count,known_uie_count,inferred_uie_count,model_only_count,avg_uie_confidence
SG,BS,A_hard_or_verified,2,2,0,0,1.0
SG,BS,B_parent_or_exception,2,2,0,0,0.85
SG,CY,A_hard_or_verified,2,2,0,0,1.0
SG,CY,D_address_inferred,2,0,2,0,0.6
SG,HK,C_name_inferred,2,0,2,0,1.0
SG,IL,A_hard_or_verified,2,2,0,0,1.0
SG,JE,B_parent_or_exception,2,2,0,0,0.85
SG,JP,B_parent_or_exception,2,2,0,0,0.85
SG,LU,B_parent_or_exception,2,2,0,0,0.875
SG,MU,C_name_inferred,2,0,2,0,0.98
SG,MY,C_name_inferred,2,0,2,0,1.0
SG,NL,B_parent_or_exception,2,2,0,0,0.85
SG,TH,E_model_only,2,0,2,2,0.7091
SG,TR,D_address_inferred,2,0,2,0,0.6
SG,VG,B_parent_or_exception,2,2,0,0,0.85
SG,AT,C_name_inferred,1,0,1,0,1.0
SG,BD,A_hard_or_verified,1,1,0,0,1.0
SG,BM,B_parent_or_exception,1,1,0,0,0.85
SG,CA,C_name_inferred,1,0,1,0,1.0
SG,CY,C_name_inferred,1,0,1,0,1.0
SG,DE,B_parent_or_exception,1,1,0,0,0.85
SG,DK,B_parent_or_exception,1,1,0,0,0.85
SG,GB,B_parent_or_exception,1,1,0,0,0.85
SG,GR,A_hard_or_verified,1,1,0,0,1.0
SG,ID,C_name_inferred,1,0,1,0,1.0
SG,IM,A_hard_or_verified,1,1,0,0,1.0
SG,IT,B_parent_or_exception,1,1,0,0,0.85
SG,IT,C_name_inferred,1,0,1,0,1.0
SG,MH,A_hard_or_verified,1,1,0,0,1.0
SG,MT,B_parent_or_exception,1,1,0,0,0.85
SG,NL,C_name_inferred,1,0,1,0,1.0
SG,QA,A_hard_or_verified,1,1,0,0,1.0
SG,TR,A_hard_or_verified,1,1,0,0,1.0
SG,ZA,A_hard_or_verified,1,1,0,0,1.0
