flow,rows,unique_counterparty_names,counterparty_matched_rows,counterparty_match_coverage,gleif_ultimate_uie_rows,uie_assignment_coverage,scorable_assigned_rows,exact_country_hits,conditional_hit_rate,exact_entity_matches,fuzzy_entity_matches
DIL,"3,567","3,209",931,26.10%,284,7.96%,284,196,69.01%,931,0
DIA,"2,278","2,134",158,6.94%,41,1.80%,19,13,68.42%,158,0
