direction,host_country,source_country,destination_country,lei,legal_name,entity_country,uie_country,uie_name,uie_lei,uie_source,evidence_tier,evidence_bucket,uie_confidence,is_known_uie,is_inferred_uie,direct_parent_country,ultimate_parent_country,chain_parent_country,ctos_registered_malaysia
IN,ID,EUROPE,ID,254900UXFNO90K4E7V83,PT BUANA FINANCE TBK,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7299,0,1,,,,0.0
IN,ID,OTHER,ID,984500CD1B3FB0A07621,PT Apm Auto Components Indonesia,ID,OTHER,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7297,0,1,,,,0.0
IN,ID,EUROPE,ID,254900YG9R887J0IMP47,PT Sinar Antjol,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7293,0,1,,,,0.0
IN,ID,EUROPE,ID,2138005W83A18JGRMU33,PT. PERUSAHAAN DAGANG DAN INDUSTRI TRESNO,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.728,0,1,,,,0.0
IN,ID,EUROPE,ID,894500F1TTMVGRQB1U56,PT T SYSTEMS INDONESIA,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7265,0,1,,,,0.0
IN,ID,EUROPE,ID,5299002HHYBH7C6WBQ62,PT Vale Indonesia Tbk,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7265,0,1,,,,0.0
IN,ID,EUROPE,ID,894500XG2EBW3PZ4AB46,Koperasi Mitra Dhuafa,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7248,0,1,,,,0.0
IN,ID,EUROPE,ID,25490071PPJ054MU6I35,PT Trimegah Asset Management,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7248,0,1,,,,0.0
IN,ID,EUROPE,ID,549300C0LR0XWH8WH822,PT ROYAL INDUSTRIES INDONESIA,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7239,0,1,,,,0.0
IN,ID,EUROPE,ID,54930014H05JP30F6E62,PT BANK SUMITOMO MITSUI INDONESIA,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7229,0,1,,,,0.0
IN,ID,OTHER,ID,98450058EB0BO14FCF30,PT Hitachi Sakti Energy Indonesia,ID,OTHER,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.721,0,1,,,,0.0
IN,ID,EUROPE,ID,529900OZ01A7BWSE5227,PT Polychem Indonesia Tbk,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.721,0,1,,,,0.0
IN,ID,EUROPE,ID,5493004UX2X7Y4H6VH54,PT COMMONWEALTH LIFE,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.72,0,1,,,,0.0
IN,ID,EUROPE,ID,254900R68LQV1N5IMO71,PT. Panin Asset Management,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7193,0,1,,,,0.0
IN,ID,EUROPE,ID,2549004MX81YK60WHC28,PT WICAKSANA OVERSEAS INTERNATIONAL Tbk.,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7189,0,1,,,,0.0
IN,ID,EUROPE,ID,213800XMYALC6OTXMG95,PT LYMAN INVESTINDO,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7187,0,1,,,,0.0
IN,ID,EUROPE,ID,549300ZFNW2H6DUMPO19,PT TETRA PAK INDONESIA,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7184,0,1,,,,0.0
IN,ID,OTHER,ID,98450096ADD9F5220044,PT YUBICOM TEKNOLOGI INDONESIA,ID,OTHER,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7183,0,1,,,,0.0
IN,ID,OTHER,ID,254900JEQ2RCGZOLY779,PT Xiangyu Trading Indonesia,ID,OTHER,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7173,0,1,,,,0.0
IN,ID,EUROPE,ID,254900XTT2NNR3BPGT97,PT Sentul City Tbk,ID,EUROPE,,,phase3_jurisdiction_model,E_model_predicted_jurisdiction,E_model_only,0.7171,0,1,,,,0.0
