source_country,destination_count,outward_observed_lei_count,outward_fdi_usd_bn,known_uie_count,inferred_uie_count,model_only_count,asean_observed_outward_lei_density
SG,5,412,195.6063086315879,64,348,335,2.106271535321368
MY,6,108,146.52832307973054,28,80,44,0.7370588684157253
ID,1,66,86.54130994783374,11,55,0,0.7626415643556143
PH,1,66,7.946692034679444,11,55,0,8.305342614508696
TH,4,56,76.038487152523,33,23,2,0.7364691499933648
VN,1,6,2.7253905657515554,3,3,0,2.201519325486267
