direction,host_country,source_country,destination_country,lei,legal_name,entity_country,uie_country,uie_name,uie_lei,uie_source,evidence_tier,evidence_bucket,uie_confidence,is_known_uie,is_inferred_uie,direct_parent_country,ultimate_parent_country,chain_parent_country,ctos_registered_malaysia
OUT,SG,MY,SG,2549005IQ0SWCBTP3W93,AET TANKERS (SUEZMAX) PTE. LTD.,SG,MY,MISC BERHAD,9845002055U77FF6B972,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0
OUT,SG,MY,SG,254900H9ZXYH3AIL6E73,AET TANKERS VLCC IV PTE. LTD.,SG,MY,MISC BERHAD,9845002055U77FF6B972,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0
OUT,SG,MY,SG,2549000GKAED9FNTYP60,AET TANKERS VLCC PTE. LTD.,SG,MY,MISC BERHAD,9845002055U77FF6B972,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0
OUT,SG,MY,SG,213800FYZBXI8EJC9628,BLUE HERON INVESTMENT PTE. LTD.,SG,MY,KUMPULAN SENTIASA CEMERLANG SDN. BHD.,254900O45TSIT1W1SH19,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0
OUT,SG,MY,SG,984500C7A19EAC3O3E37,CGSI CAIP ID I PTE. LTD.,SG,MY,CIMB GROUP HOLDINGS BERHAD,549300FYDN5UD7USZW18,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0
OUT,SG,MY,SG,984500CC85A51ABDE715,CGSI CAIP PARTNERS I PTE.,SG,MY,CIMB GROUP HOLDINGS BERHAD,549300FYDN5UD7USZW18,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0
OUT,SG,MY,SG,984500XA5FDB876CD140,COCOASOURCE PTE. LTD.,SG,MY,KUMPULAN SENTIASA CEMERLANG SDN. BHD.,254900O45TSIT1W1SH19,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0
OUT,SG,MY,SG,984500X960150CA7F255,CORA ENVIRONMENT GROUP PTE. LTD.,SG,MY,MISC BERHAD,9845002055U77FF6B972,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0
OUT,SG,MY,SG,988400MZRK0XDJCREH59,DAMU INTERNATIONAL PTE.LTD,SG,MY,KUMPULAN SENTIASA CEMERLANG SDN. BHD.,254900O45TSIT1W1SH19,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0
OUT,SG,MY,SG,254900QX9AUY9EW7JP29,DUTY FREE INTERNATIONAL LIMITED,SG,MY,KUMPULAN SENTIASA CEMERLANG SDN. BHD.,254900O45TSIT1W1SH19,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0
OUT,SG,MY,SG,254900F54KUBEQFOW649,High Inspiration International Pte. Ltd.,SG,MY,KUMPULAN SENTIASA CEMERLANG SDN. BHD.,254900O45TSIT1W1SH19,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0
OUT,SG,MY,SG,875500CAPZJIJSFK2078,INBISCO SINGAPORE PTE LTD,SG,MY,KUMPULAN SENTIASA CEMERLANG SDN. BHD.,254900O45TSIT1W1SH19,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0
OUT,SG,MY,SG,875500ITZZE0SKIHKU05,Maybank Income Fund A,SG,MY,MALAYAN BANKING BERHAD,5493004OT3TOY404V310,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0
OUT,SG,MY,SG,549300LLHSDHK215TC18,Maybank Money Market Fund,SG,MY,MALAYAN BANKING BERHAD,5493004OT3TOY404V310,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0
OUT,SG,MY,SG,254900B0737L4E5J3B56,McQuilling Energy Brokerage Asia Pte. Ltd.,SG,MY,KUMPULAN SENTIASA CEMERLANG SDN. BHD.,254900O45TSIT1W1SH19,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0
OUT,SG,MY,SG,2549000OXYVG943OSH34,REDMOND CAPITAL PTE. LTD.,SG,MY,KUMPULAN SENTIASA CEMERLANG SDN. BHD.,254900O45TSIT1W1SH19,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0
OUT,SG,MY,SG,98450000F6D07FY88D72,SINGX SINGAPORE PTE. LTD.,SG,MY,KUMPULAN SENTIASA CEMERLANG SDN. BHD.,254900O45TSIT1W1SH19,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0
OUT,SG,MY,SG,254900R6KOSLWRD91757,Southern Ridges Capital Pte. Ltd.,SG,MY,MISC BERHAD,9845002055U77FF6B972,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0
OUT,SG,MY,SG,391200U4DGWQ3UQCMJ15,Transport Capital Holdings Pte. Ltd.,SG,MY,MISC BERHAD,9845002055U77FF6B972,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0
OUT,SG,MY,SG,9845006CLA5DAE58CF85,UNIFY SHIP MANAGEMENT PTE. LTD.,SG,MY,KUMPULAN SENTIASA CEMERLANG SDN. BHD.,254900O45TSIT1W1SH19,phase2_address_cluster,D_address_cluster,D_address_inferred,0.6,0,1,,,,0
