flow,rows,unique_entity_country_keys,rows_with_economy,row_assignment_coverage,entity_country_keys_with_economy,entity_country_key_coverage,reported_uie_rows,direct_parent_nearest_rows,own_legal_economy_rows,own_hq_economy_rows,unresolved_rows,reported_uie_entities,nearest_economy_entities,unresolved_entities
DIL,"3,567","3,222",931,26.10%,764,23.71%,284,8,639,0,"2,636",240,524,"2,458"
DIA,"2,278","2,153",158,6.94%,145,6.73%,41,1,116,0,"2,120",39,106,"2,008"
