host_country,lei,legal_name,entity_country,direct_parent_lei,direct_parent_name,direct_parent_country,ultimate_parent_lei,ultimate_parent_name,ultimate_parent_country,chain_parent_lei,chain_parent_name,chain_parent_country,chain_parent_relationship_type,uie_lei,uie_name,uie_country,uie_source,evidence_tier,uie_confidence,is_known_uie,is_inferred_uie,is_non_consolidating,exception_reason,matched_parent_lei,matched_parent_name,matched_parent_country,brand_token,match_score,inferred_parent_lei,address_parent_name,address_parent_country,confidence,predicted_parent_country,prediction_probability,confidence_gap,top3_countries,top3_probabilities,ctos_registered_malaysia,ctos_name,ctos_registration_no,ctos_match_score,ctos_match_method,ctos_url,override_reason,source_url,source_note
PH,549300W4805DTM3PL558,"Investments 2234 Philippines Fund I (SPV-AMC), Inc.",PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.469,0,1,1,NON_CONSOLIDATING,,,,,,,,,,US,0.469,0.1867,US;AMERICAS_OTHER;EUROPE,0.469;0.2824;0.0888,0,,,,,,,,
PH,549300E4Y7JN7VN8P057,MANULIFE INVESTMENT MANAGEMENT AND TRUST CORPORATION,PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4684,0,1,1,NON_CONSOLIDATING,,,,,,,,,,US,0.4684,0.2015,US;AMERICAS_OTHER;OTHER,0.4684;0.2669;0.1041,0,,,,,,,,
PH,529900K4HG81TB5OEN26,Henkel Asia Pacific Service Centre,PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.468,0,1,1,NON_CONSOLIDATING,,,,,,,,,,US,0.468,0.2912,US;DE;OTHER,0.468;0.1768;0.1693,0,,,,,,,,
PH,254900VA32LYZZNXQF50,"Banco San Vicente, Inc. (A Rural Bank)",PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4672,0,1,0,NO_KNOWN_PERSON,,,,,,,,,,US,0.4672,0.2528,US;DE;AMERICAS_OTHER,0.4672;0.2144;0.1164,0,,,,,,,,
PH,5493002A4AR5XK37G321,"PHILIPPINE AIRLINES, INC.",PH,,,,,,,,,,,,,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4669,0,1,1,NON_CONSOLIDATING,,,,,,,,,,DE,0.4669,0.1048,DE;US;AMERICAS_OTHER,0.4669;0.3621;0.0526,0,,,,,,,,
PH,254900PKCHQJCFQUCE62,EKKLESIA MUTUAL FUND INC.,PH,,,,,,,,,,,,,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4668,0,1,1,NON_CONSOLIDATING,,,,,,,,,,DE,0.4668,0.1716,DE;US;OTHER,0.4668;0.2952;0.1125,0,,,,,,,,
PH,254900145SOJJFPUPU84,Acer Global Merchandise Philippines Inc.,PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4663,0,1,0,NO_LEI,,,,,,,,,,US,0.4663,0.2171,US;DE;EUROPE,0.4663;0.2492;0.1092,0,,,,,,,,
PH,5493008WQY4CY84QGL98,PHIL. GOLD PROCESSING & REFINING CORP.,PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4649,0,1,0,NATURAL_PERSONS,,,,,,,,,,US,0.4649,0.2823,US;DE;EUROPE,0.4649;0.1826;0.1661,0,,,,,,,,
PH,254900AHGSPBPS34T495,PPI PAZIFIK POWER INC.,PH,,,,,,,,,,,,,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4648,0,1,0,NO_LEI,,,,,,,,,,DE,0.4648,0.2926,DE;AMERICAS_OTHER;US,0.4648;0.1721;0.1307,0,,,,,,,,
PH,549300JWFZ2NJWYJ8X67,SAN MIGUEL AEROCITY INC.,PH,,,,,,,,,,,,,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4647,0,1,0,NO_LEI,,,,,,,,,,DE,0.4647,0.2345,DE;US;EUROPE,0.4647;0.2302;0.1009,0,,,,,,,,
PH,549300SQYI82RVWFN715,METROPOLITAN BANK & TRUST COMPANY,PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4645,0,1,1,NON_CONSOLIDATING,,,,,,,,,,US,0.4645,0.2848,US;DE;AMERICAS_OTHER,0.4645;0.1798;0.1761,0,,,,,,,,
PH,549300U3SV5LV88YPI34,GREPALIFE DOLLAR BOND FUND CORPORATION,PH,,,,,,,,,,,,,AMERICAS_OTHER,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4635,0,1,1,NON_CONSOLIDATING,,,,,,,,,,AMERICAS_OTHER,0.4635,0.1647,AMERICAS_OTHER;US;EUROPE,0.4635;0.2988;0.1032,0,,,,,,,,
PH,549300G6J4PN39HDJC57,THOMSON REUTERS CORPORATION PTE. LTD. - PHILIPPINE BRANCH,PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4632,0,1,0,,,,,,,,,,,US,0.4632,0.2532,US;EUROPE;AMERICAS_OTHER,0.4632;0.2099;0.1916,0,,,,,,,,
PH,254900SLFSH0EYWZ8W48,"SCHENEIDER ELECTRIC IT PHILIPPINES, INC.",PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4631,0,1,0,NON_PUBLIC,,,,,,,,,,US,0.4631,0.2447,US;DE;EUROPE,0.4631;0.2183;0.1034,0,,,,,,,,
PH,984500D8DFTAE2B99F36,ACER PHILIPPINES INC.,PH,,,,,,,,,,,,,DE,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.463,0,1,1,NON_CONSOLIDATING,,,,,,,,,,DE,0.463,0.1908,DE;US;AMERICAS_OTHER,0.463;0.2722;0.1158,0,,,,,,,,
PH,254900C70M4NHRI85812,"ATRAM Dynamic Allocation Fund, Inc.",PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4621,0,1,1,NON_CONSOLIDATING,,,,,,,,,,US,0.4621,0.2383,US;DE;OTHER,0.4621;0.2239;0.1676,0,,,,,,,,
PH,894500YSQ761RB6S2689,"Cantilan Bank, Inc. (A Rural Bank)",PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4618,0,1,0,NO_KNOWN_PERSON,,,,,,,,,,US,0.4618,0.2187,US;DE;AMERICAS_OTHER,0.4618;0.2431;0.149,0,,,,,,,,
PH,635400ECABCKLTJVME44,TRANSFERMATE PHILIPPINES CORPORATION,PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.4615,0,1,1,NON_CONSOLIDATING,,,,,,,,,,US,0.4615,0.1712,US;DE;ASIA_OTHER,0.4615;0.2903;0.1121,0,,,,,,,,
PH,254900FIIA71EWVPNL25,"First Metro Save and Learn F.O.C.C.U.S. Dynamic Fund, Inc.",PH,,,,,,,,,,,,,US,phase3_jurisdiction_model,E_model_predicted_jurisdiction,0.461,0,1,0,NATURAL_PERSONS,,,,,,,,,,US,0.461,0.2738,US;DE;ASIA_OTHER,0.461;0.1872;0.1181,0,,,,,,,,
