host_country,lei,legal_name,entity_country,direct_parent_lei,direct_parent_name,direct_parent_country,ultimate_parent_lei,ultimate_parent_name,ultimate_parent_country,chain_parent_lei,chain_parent_name,chain_parent_country,chain_parent_relationship_type,uie_lei,uie_name,uie_country,uie_source,evidence_tier,uie_confidence,is_known_uie,is_inferred_uie,is_non_consolidating,exception_reason,matched_parent_lei,matched_parent_name,matched_parent_country,brand_token,match_score,inferred_parent_lei,address_parent_name,address_parent_country,confidence,predicted_parent_country,prediction_probability,confidence_gap,top3_countries,top3_probabilities,ctos_registered_malaysia,ctos_name,ctos_registration_no,ctos_match_score,ctos_match_method,ctos_url,override_reason,source_url,source_note
MM,2549007G6GQGHMW3GT65,CROWN Beverage Cans Myanmar Limited,MM,2549001D3NPKX8W8KG76,CROWN ASIA PACIFIC HOLDINGS PTE. LTD.,SG,NYLWZIOY8PUNIT4JOE22,"CROWN HOLDINGS, INC.",US,,,,,NYLWZIOY8PUNIT4JOE22,"CROWN HOLDINGS, INC.",US,gleif_ultimate_parent,A_known_ultimate_parent,1.0,1,0,0,,,,,,,,,,,OTHER,1.0,,OTHER,1.0,0,,,,,,,,
MM,254900WY1CZERTJGUB56,CB Bank PCL,MM,,,,,,,,,,,,,OTHER,phase3_jurisdiction_model,E_model_predicted_jurisdiction,1.0,0,1,0,NO_LEI,,,,,,,,,,OTHER,1.0,,OTHER,1.0,0,,,,,,,,
MM,254900XXOWNQQB90Q164,Central Bank of Myanmar,MM,,,,,,,,,,,,,OTHER,phase3_jurisdiction_model,E_model_predicted_jurisdiction,1.0,0,1,1,NON_CONSOLIDATING,,,,,,,,,,OTHER,1.0,,OTHER,1.0,0,,,,,,,,
MM,254900UHXSUMHDDDZN06,GREENPLY INDUSTRIES (MYANMAR) PRIVATE LIMITED,MM,,,,,,,,,,,,,OTHER,phase3_jurisdiction_model,E_model_predicted_jurisdiction,1.0,0,1,0,NATURAL_PERSONS,,,,,,,,,,OTHER,1.0,,OTHER,1.0,0,,,,,,,,
MM,254900JCIXG8ZZZR8B23,TREASURE LAND ASIA INVESTMENT COMPANY LIMITED,MM,,,,,,,,,,,,,OTHER,phase3_jurisdiction_model,E_model_predicted_jurisdiction,1.0,0,1,0,NO_KNOWN_PERSON,,,,,,,,,,OTHER,1.0,,OTHER,1.0,0,,,,,,,,
MM,254900VT8WEMF93LUA88,UAB BANK LIMITED,MM,,,,,,,,,,,,,OTHER,phase3_jurisdiction_model,E_model_predicted_jurisdiction,1.0,0,1,0,NO_KNOWN_PERSON,,,,,,,,,,OTHER,1.0,,OTHER,1.0,0,,,,,,,,
